#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCWT01054821.1_3     -          oskar_filtered.aligned.OSK_domain -            7.4e-22   82.1   0.0   1.1e-21   81.6   0.0   1.3   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s6800_L_11990_1_27_4_BUBBLE, transcribed RNA sequence
GCWT01054818.1_3     -          oskar_filtered.aligned.OSK_domain -            7.5e-22   82.1   0.0   1.2e-21   81.5   0.0   1.3   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s6799_L_11990_0_29_1_BUBBLE, transcribed RNA sequence
GCWT01042567.1_6     -          oskar_filtered.aligned.OSK_domain -            9.7e-18   68.7   2.5   9.7e-18   68.7   2.5   4.1   4   0   0   4   4   4   1 TSA: Agallia constricta breed wildtype s16833_L_42878_0_17_9_LINEAR, transcribed RNA sequence
GCWT01045858.1_5     -          oskar_filtered.aligned.OSK_domain -            1.3e-15   61.8   2.7   1.7e-15   61.4   2.7   1.2   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s19799_L_56688_0_5_0_LINEAR, transcribed RNA sequence
GCWT01031996.1_6     -          oskar_filtered.aligned.OSK_domain -              7e-14   56.1   0.4   1.1e-13   55.5   0.4   1.3   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype C523994_3_0, transcribed RNA sequence
GCWT01050784.1_4     -          oskar_filtered.aligned.OSK_domain -            2.5e-10   44.5   1.2   4.5e-10   43.7   1.1   1.5   1   1   0   1   1   1   1 TSA: Agallia constricta breed wildtype s3165_L_5042_0_9_3_LINEAR, transcribed RNA sequence
GCWT01021371.1_3     -          oskar_filtered.aligned.OSK_domain -            5.6e-10   43.4   0.8   6.3e-10   43.2   0.8   1.0   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype C471064_2_0, transcribed RNA sequence
GCWT01058101.1_4     -          oskar_filtered.aligned.OSK_domain -            3.2e-09   40.9   0.3   8.3e-09   39.6   0.3   1.6   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s9756_L_19186_0_17_8_COMPLEX, transcribed RNA sequence
GCWT01028883.1_4     -          oskar_filtered.aligned.OSK_domain -            6.4e-09   39.9   0.0   7.3e-09   39.8   0.0   1.1   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype C506444_5_0, transcribed RNA sequence
GCWT01048932.1_1     -          oskar_filtered.aligned.OSK_domain -            4.2e-08   37.3   0.0   5.4e-08   36.9   0.0   1.1   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s22571_L_72439_0_4_0_LINEAR, transcribed RNA sequence
GCWT01057712.1_1     -          oskar_filtered.aligned.OSK_domain -            7.4e-08   36.5   0.0   1.2e-07   35.8   0.0   1.4   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s9405_L_18296_1_7_0_BUBBLE, transcribed RNA sequence
GCWT01057711.1_1     -          oskar_filtered.aligned.OSK_domain -            7.9e-08   36.4   0.0   1.2e-07   35.8   0.0   1.3   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s9404_L_18296_0_7_4_BUBBLE, transcribed RNA sequence
GCWT01043145.1_3     -          oskar_filtered.aligned.OSK_domain -            9.1e-08   36.2   0.0   1.2e-07   35.8   0.0   1.2   1   0   0   1   1   1   1 TSA: Agallia constricta breed wildtype s17354_L_45331_0_5_0_LINEAR, transcribed RNA sequence
