#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCZD01036398.1_3     -          oskar_filtered.aligned.OSK_domain -            5.1e-23   85.9   0.3   9.3e-23   85.0   0.3   1.5   1   0   0   1   1   1   1 TSA: Vidanoana flavomaculata breed wildtype C265971_14_0, transcribed RNA sequence
GCZD01053292.1_6     -          oskar_filtered.aligned.OSK_domain -            1.8e-11   48.3   0.2   2.5e-11   47.8   0.2   1.1   1   0   0   1   1   1   1 TSA: Vidanoana flavomaculata breed wildtype s7126_L_18273_1_8_4_FORK, transcribed RNA sequence
GCZD01048376.1_1     -          oskar_filtered.aligned.OSK_domain -            1.5e-10   45.2   0.0   3.1e-10   44.2   0.0   1.4   1   0   0   1   1   1   1 TSA: Vidanoana flavomaculata breed wildtype s269_L_390_3_40_7_COMPLEX, transcribed RNA sequence
GCZD01043353.1_1     -          oskar_filtered.aligned.OSK_domain -            1.8e-10   44.9   0.0   2.9e-10   44.3   0.0   1.3   1   0   0   1   1   1   1 TSA: Vidanoana flavomaculata breed wildtype s151_L_175_4_26_2_COMPLEX, transcribed RNA sequence
GCZD01043130.1_1     -          oskar_filtered.aligned.OSK_domain -            2.1e-10   44.8   0.0   4.3e-10   43.7   0.0   1.4   1   0   0   1   1   1   1 TSA: Vidanoana flavomaculata breed wildtype s149_L_175_2_28_2_COMPLEX, transcribed RNA sequence
GCZD01021985.1_1     -          oskar_filtered.aligned.OSK_domain -            2.3e-10   44.6   0.1   2.7e-10   44.4   0.1   1.0   1   0   0   1   1   1   1 TSA: Vidanoana flavomaculata breed wildtype C201601_2_0, transcribed RNA sequence
GCZD01043019.1_1     -          oskar_filtered.aligned.OSK_domain -            2.3e-10   44.6   0.0   3.8e-10   43.9   0.0   1.3   1   0   0   1   1   1   1 TSA: Vidanoana flavomaculata breed wildtype s148_L_175_1_31_4_COMPLEX, transcribed RNA sequence
GCZD01043242.1_1     -          oskar_filtered.aligned.OSK_domain -            2.4e-10   44.5   0.0   3.8e-10   43.9   0.0   1.2   1   0   0   1   1   1   1 TSA: Vidanoana flavomaculata breed wildtype s150_L_175_3_32_5_COMPLEX, transcribed RNA sequence
GCZD01031161.1_5     -          oskar_filtered.aligned.OSK_domain -            2.5e-10   44.5   0.0   3.1e-10   44.2   0.0   1.1   1   0   0   1   1   1   1 TSA: Vidanoana flavomaculata breed wildtype C239913_12_0, transcribed RNA sequence
GCZD01048343.1_2     -          oskar_filtered.aligned.OSK_domain -            2.7e-10   44.4   0.5   6.1e-10   43.2   0.0   1.7   2   0   0   2   2   1   1 TSA: Vidanoana flavomaculata breed wildtype s266_L_390_0_32_1_COMPLEX, transcribed RNA sequence
GCZD01016177.1_4     -          oskar_filtered.aligned.OSK_domain -            4.6e-10   43.6   1.6   5.2e-10   43.5   1.6   1.0   1   0   0   1   1   1   1 TSA: Vidanoana flavomaculata breed wildtype C181023_2_0, transcribed RNA sequence
