TSA,tsa_id,bioproject,biosample,sex,stage,tissue
GHUW00000000.1,GHUW,PRJNA561752,SAMN12627590,None,None,"adults, nymphs, guts"
GDXR00000000.1,GDXR,PRJNA286448,SAMN04005234,None,None,head and thorax
GDXR00000000.1,GDXR,PRJNA286448,SAMN04005234,female,None,None
GDYI00000000.1,GDYI,PRJNA286427,SAMN04005212,None,None,head and thorax
GDYI00000000.1,GDYI,PRJNA286427,SAMN04005212,None,nymph,None
GDYI00000000.1,GDYI,PRJNA286427,SAMN04005212,female,None,None
GDZR00000000.1,GDZR,PRJNA286403,SAMN04005188,None,None,head and thorax
GDZR00000000.1,GDZR,PRJNA286403,SAMN04005188,female,None,None
GDWN00000000.1,GDWN,PRJNA286404,SAMN04005189,None,None,head and thorax
GDWN00000000.1,GDWN,PRJNA286404,SAMN04005189,not determined,None,None
GDWM00000000.1,GDWM,PRJNA286419,SAMN04005204,None,None,head and thorax
GDWM00000000.1,GDWM,PRJNA286419,SAMN04005204,male,None,None
GDXF00000000.1,GDXF,PRJNA286397,SAMN04005182,None,None,head and 6 legs
GDXF00000000.1,GDXF,PRJNA286397,SAMN04005182,female,None,None
GDXM00000000.1,GDXM,PRJNA286406,SAMN04005191,None,None,head and thorax
GDXM00000000.1,GDXM,PRJNA286406,SAMN04005191,not determined,None,None
GDXL00000000.1,GDXL,PRJNA286367,SAMN04005152,None,None,head and forelegs
GDXL00000000.1,GDXL,PRJNA286367,SAMN04005152,None,nymph,None
GDXL00000000.1,GDXL,PRJNA286367,SAMN04005152,female,None,None
GDUS00000000.1,GDUS,PRJNA286390,SAMN04005175,None,None,head and thorax
GDUS00000000.1,GDUS,PRJNA286390,SAMN04005175,None,nymph,None
GDUS00000000.1,GDUS,PRJNA286390,SAMN04005175,not determined,None,None
GDYH00000000.1,GDYH,PRJNA286455,SAMN04005241,None,None,1 leg
GDYH00000000.1,GDYH,PRJNA286455,SAMN04005241,None,nymph,None
GDYH00000000.1,GDYH,PRJNA286455,SAMN04005241,male,None,None
GDZP00000000.1,GDZP,PRJNA286473,SAMN04005259,None,None,head and thorax
GDZP00000000.1,GDZP,PRJNA286473,SAMN04005259,not determined,None,None
GDZO00000000.1,GDZO,PRJNA286361,SAMN04005146,None,None,head and thorax
GDZO00000000.1,GDZO,PRJNA286361,SAMN04005146,not determined,None,None
GDZM00000000.1,GDZM,PRJNA286376,SAMN04005161,None,None,head and forelegs
GDZM00000000.1,GDZM,PRJNA286376,SAMN04005161,None,nymph,None
GDZM00000000.1,GDZM,PRJNA286376,SAMN04005161,female,None,None
GDXC00000000.1,GDXC,PRJNA286445,SAMN04005231,None,None,head and thorax
GDXC00000000.1,GDXC,PRJNA286445,SAMN04005231,not determined,None,None
GDXB00000000.1,GDXB,PRJNA286347,SAMN04005132,None,None,head and thorax
GDXB00000000.1,GDXB,PRJNA286347,SAMN04005132,None,adult,None
GDXB00000000.1,GDXB,PRJNA286347,SAMN04005132,female,None,None
GDWZ00000000.1,GDWZ,PRJNA286328,SAMN04005111,None,None,whole organism
GDWZ00000000.1,GDWZ,PRJNA286328,SAMN04005111,not determined,None,None
GDWL00000000.1,GDWL,PRJNA286422,SAMN04005207,None,None,head and thorax
GDWL00000000.1,GDWL,PRJNA286422,SAMN04005207,not determined,None,None
GDTQ00000000.1,GDTQ,PRJNA286345,SAMN04005130,None,None,whole organism
GDTQ00000000.1,GDTQ,PRJNA286345,SAMN04005130,None,adult,None
GDTQ00000000.1,GDTQ,PRJNA286345,SAMN04005130,not determined,None,None
GDVL00000000.1,GDVL,PRJNA286457,SAMN04005243,None,None,3 legs
GDVL00000000.1,GDVL,PRJNA286457,SAMN04005243,not determined,None,None
GDVJ00000000.1,GDVJ,PRJNA286411,SAMN04005196,None,None,head and thorax
GDVJ00000000.1,GDVJ,PRJNA286411,SAMN04005196,male,None,None
GDVF00000000.1,GDVF,PRJNA286331,SAMN04005114,None,None,head and thorax
GDVF00000000.1,GDVF,PRJNA286331,SAMN04005114,None,larva,None
GDVF00000000.1,GDVF,PRJNA286331,SAMN04005114,not determined,None,None
GDVD00000000.1,GDVD,PRJNA286372,SAMN04005157,None,None,head and thorax
GDVD00000000.1,GDVD,PRJNA286372,SAMN04005157,None,nymph,None
GDVD00000000.1,GDVD,PRJNA286372,SAMN04005157,not determined,None,None
GEAD00000000.1,GEAD,PRJNA286446,SAMN04005232,None,None,head and thorax
GEAD00000000.1,GEAD,PRJNA286446,SAMN04005232,male,None,None
GDYY00000000.1,GDYY,PRJNA286334,SAMN04005117,None,None,head and prothorax
GDYY00000000.1,GDYY,PRJNA286334,SAMN04005117,None,adult,None
GDYY00000000.1,GDYY,PRJNA286334,SAMN04005117,not determined,None,None
GDYR00000000.1,GDYR,PRJNA286380,SAMN04005165,None,None,head and thorax
GDYR00000000.1,GDYR,PRJNA286380,SAMN04005165,None,adult,None
GDYR00000000.1,GDYR,PRJNA286380,SAMN04005165,male,None,None
GDZN00000000.1,GDZN,PRJNA286420,SAMN04005205,None,None,head and thorax
GDZN00000000.1,GDZN,PRJNA286420,SAMN04005205,None,adult,None
GDZN00000000.1,GDZN,PRJNA286420,SAMN04005205,female,None,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331412,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331412,None,prepupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331413,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331413,None,prepupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331414,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331414,None,prepupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331415,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331415,None,prepupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331416,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331416,None,prepupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331417,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331417,None,prepupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331418,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331418,None,prepupa,None
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331419,None,None,wing disc
GHRN00000000.1,GHRN,PRJNA555830,SAMN12331419,None,prepupa,None
