#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDEO01046398.1_3     -          OSK_CONSENSUS        -            6.3e-27   98.1   0.5   1.2e-26   97.2   0.5   1.4   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s9182_L_32229_0_a_4_7_l_1098, transcribed RNA sequence
GDEO01036757.1_4     -          OSK_CONSENSUS        -            6.7e-27   98.0   1.2   1.6e-26   96.7   1.2   1.7   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C204079_a_61_0_l_4993, transcribed RNA sequence
GDEO01039037.1_3     -          OSK_CONSENSUS        -            1.4e-11   48.2   0.2     5e-11   46.4   0.2   2.0   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s2534_L_3582_1_a_53_9_l_7821, transcribed RNA sequence
GDEO01039036.1_3     -          OSK_CONSENSUS        -            1.4e-11   48.2   0.3   1.4e-11   48.2   0.3   1.9   2   0   0   2   2   1   1 TSA: Ulopa reticulata breed wildtype s2533_L_3582_0_a_39_3_l_2829, transcribed RNA sequence
GDEO01039734.1_3     -          OSK_CONSENSUS        -            8.6e-11   45.6   0.0   1.4e-10   44.9   0.0   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s3164_L_4802_0_a_25_5_l_895, transcribed RNA sequence
GDEO01032430.1_3     -          OSK_CONSENSUS        -            1.1e-10   45.2   0.1   2.9e-10   43.9   0.1   1.6   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype C192218_a_9_0_l_832, transcribed RNA sequence
GDEO01039534.1_6     -          OSK_CONSENSUS        -            1.7e-10   44.7   0.1   2.7e-10   44.0   0.1   1.3   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s2985_L_4481_1_a_27_1_l_1665, transcribed RNA sequence
GDEO01039533.1_6     -          OSK_CONSENSUS        -            2.1e-10   44.4   0.1   3.5e-10   43.6   0.1   1.4   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s2984_L_4481_0_a_24_1_l_1926, transcribed RNA sequence
GDEO01039039.1_3     -          OSK_CONSENSUS        -              5e-09   39.9   0.1     9e-09   39.1   0.1   1.4   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s2536_L_3582_3_a_30_0_l_977, transcribed RNA sequence
GDEO01045387.1_6     -          OSK_CONSENSUS        -            1.2e-08   38.7   0.1   1.6e-08   38.3   0.1   1.2   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s8269_L_21988_0_a_7_0_l_673, transcribed RNA sequence
GDEO01039500.1_5     -          OSK_CONSENSUS        -            2.5e-08   37.6   0.0   4.7e-08   36.7   0.0   1.4   1   0   0   1   1   1   1 TSA: Ulopa reticulata breed wildtype s2954_L_4421_1_a_45_7_l_2369, transcribed RNA sequence
