#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCPH01046579.1_1     -          OSK_CONSENSUS        -            3.3e-17   66.7   0.1   9.6e-17   65.2   0.0   1.8   2   0   0   2   2   2   1 TSA: Tirachoidea westwoodii breed breeding s12462_L_48432_0_a_18_3_l_2129, transcribed RNA sequence
GCPH01047077.1_5     -          OSK_CONSENSUS        -            7.1e-16   62.4   0.0   1.4e-15   61.5   0.0   1.4   1   0   0   1   1   1   1 TSA: Tirachoidea westwoodii breed breeding s12910_L_53161_0_a_21_0_l_1401, transcribed RNA sequence
GCPH01043244.1_6     -          OSK_CONSENSUS        -             0.0093   19.8   9.8      0.85   13.4   5.3   3.3   3   0   0   3   3   3   1 TSA: Tirachoidea westwoodii breed breeding C253255_a_14_0_l_2043, transcribed RNA sequence
GCPH01045368.1_1     -          OSK_CONSENSUS        -               0.28   15.0   1.8      0.28   15.0   1.8   2.1   2   0   0   2   2   2   0 TSA: Tirachoidea westwoodii breed breeding s11372_L_38551_0_a_3_8_l_1307, transcribed RNA sequence
GCPH01025418.1_5     -          OSK_CONSENSUS        -               0.29   14.9   0.0      0.45   14.3   0.0   1.4   2   0   0   2   2   2   0 TSA: Tirachoidea westwoodii breed breeding C198899_a_16_0_l_416, transcribed RNA sequence
GCPH01010635.1_2     -          OSK_CONSENSUS        -               0.34   14.7   0.1      0.36   14.6   0.1   1.1   1   0   0   1   1   1   0 TSA: Tirachoidea westwoodii breed breeding C156697_a_3_0_l_254, transcribed RNA sequence
GCPH01027699.1_1     -          OSK_CONSENSUS        -               0.45   14.3   0.0       0.6   13.9   0.0   1.3   1   0   0   1   1   1   0 TSA: Tirachoidea westwoodii breed breeding C205779_a_8_0_l_461, transcribed RNA sequence
GCPH01041818.1_1     -          OSK_CONSENSUS        -                1.6   12.5   0.0       2.8   11.7   0.0   1.3   1   0   0   1   1   1   0 TSA: Tirachoidea westwoodii breed breeding C249223_a_11_0_l_1455, transcribed RNA sequence
GCPH01000267.1_2     -          OSK_CONSENSUS        -                2.9   11.7   0.0       3.2   11.5   0.0   1.0   1   0   0   1   1   1   0 TSA: Tirachoidea westwoodii breed breeding C128498_a_3_0_l_201, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCPH01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCPH01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCPH01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:46:40 2019
# [ok]
