#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCPF01030658.1_6     -          OSK_CONSENSUS        -            6.4e-30  107.9   0.8   1.7e-29  106.6   0.0   1.8   2   0   0   2   2   2   1 TSA: Cheddikulama straminea breed breeding C186406_a_3_0_l_1012, transcribed RNA sequence
GCPF01007890.1_1     -          OSK_CONSENSUS        -             0.0058   20.3   0.1    0.0073   20.0   0.1   1.0   1   0   0   1   1   1   1 TSA: Cheddikulama straminea breed breeding C119964_a_5_0_l_276, transcribed RNA sequence
GCPF01019716.1_5     -          OSK_CONSENSUS        -               0.01   19.5   0.1     0.014   19.1   0.1   1.2   1   0   0   1   1   1   0 TSA: Cheddikulama straminea breed breeding C153653_a_3_0_l_456, transcribed RNA sequence
GCPF01051479.1_4     -          OSK_CONSENSUS        -               0.06   17.0   0.1      0.15   15.7   0.1   1.7   1   0   0   1   1   1   0 TSA: Cheddikulama straminea breed breeding s9056_L_27226_1_a_13_8_l_2712, transcribed RNA sequence
GCPF01028138.1_4     -          OSK_CONSENSUS        -               0.11   16.1   0.4      0.16   15.6   0.4   1.3   1   0   0   1   1   1   0 TSA: Cheddikulama straminea breed breeding C178628_a_10_0_l_798, transcribed RNA sequence
GCPF01041240.1_2     -          OSK_CONSENSUS        -               0.18   15.5   1.2        13    9.5   0.1   2.4   2   0   0   2   2   2   0 TSA: Cheddikulama straminea breed breeding s10363_L_38757_0_a_6_3_l_1179, transcribed RNA sequence
GCPF01023305.1_3     -          OSK_CONSENSUS        -               0.41   14.3   0.1      0.57   13.9   0.1   1.2   1   0   0   1   1   1   0 TSA: Cheddikulama straminea breed breeding C164232_a_3_0_l_559, transcribed RNA sequence
GCPF01033398.1_4     -          OSK_CONSENSUS        -               0.82   13.3   0.1   1.3e+02    6.2   0.0   2.9   3   0   0   3   3   3   0 TSA: Cheddikulama straminea breed breeding C194622_a_66_0_l_1421, transcribed RNA sequence
GCPF01029291.1_5     -          OSK_CONSENSUS        -                2.1   12.0   0.9        12    9.5   0.1   2.2   2   0   0   2   2   2   0 TSA: Cheddikulama straminea breed breeding C182226_a_8_0_l_888, transcribed RNA sequence
GCPF01043273.1_1     -          OSK_CONSENSUS        -                4.7   10.9   4.0       9.8    9.8   4.0   1.5   1   1   0   1   1   1   0 TSA: Cheddikulama straminea breed breeding s164_L_181_2_a_3_9_l_852, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCPF01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCPF01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCPF01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:52:28 2019
# [ok]
